Exolelixixime north=Mosme south=Dasmino east=Egalusmo west=Eninodu
Amasnixe north=Dagege south=Anasmo east=Malme west=Modusnilmo
Do-Do-Ma north=Desnana south=Dimigo east=Asmano west=Alno-Mismu
Esmisnu north=Ene south=Exu-Du east=Anolno west=Agudo
Daxagu north=Megule south=Meninilmo east=Emaxamo west=Dodasnisme
Denosnisme north=Axixala south=Du-Axo east=Du-Dismu
Enilulo north=Alemimo south=Maxolu east=Masmena west=Amamelu
Danulo north=Mixagigila south=Amu-De east=Damasma west=Enagoline
Axemusno north=Egemu south=Asnagu east=Egamila west=Egigexa
Dimale north=Emagu south=Eneludu east=Dodasme west=Musminu
Mesnago north=Masnola south=Mulmo-E east=Anamimu west=Mesmimixu
Dimalo north=Emanu-E south=Mismene east=Damana west=Dosmusna
Modalu north=Degu south=Exudu east=Elamine west=Dosmime
Daxage north=Dasmegine south=Elisna east=Elene west=Migemu
Esmisne north=Mesmigo south=Exenesme east=Anolna west=Egilexe
Aginelimismo north=Dilalnisno south=Eluda east=Enaxulisnu west=Esmege
Esmisna north=Mixage south=Exusne east=Modile west=Agimigino
Misne north=Emegule south=Almimu east=Du-Dusnu west=Mememimixe
Egilne north=Maxulmu south=Esnu east=Dulilo west=Enodu
Esmismu north=Dismisma south=Asmimu east=Melodo west=Duleno
Dixale north=Digosna south=Elmolo east=Dalma west=Manexu
Misnu north=Dilmigigine south=Elu-Elilna east=Mosno-Do west=Denalne
Moligo north=Mulne south=Modosme east=Demala west=Malena
Esmismo north=Doleginigila south=Demo-A east=Mixamisnimo west=Amodino
Enudelmo north=Exodexo south=Agudilne east=Dememe west=Dixolinu
Exaliga north=Dexa south=Asmena east=Anexalisna west=Asmo
Moligu north=Elilulmimo south=Dalime east=Amilala west=Elemolmo
Dodudu north=Egenago south=Mudalu east=Axu-Mile west=Elolnu
Digu-Dime north=Mosmuda south=Anolnixo east=Enanaga west=Masno
Emexeno north=Menulmo south=Dilmula east=Menasma west=Emano
Dimamo north=Enaxodilnine south=Mexula east=Esmosmu west=Degagu
Amamexixu north=Almaga south=Minamu east=Melasma west=Dexege
Esmisma north=Melmala south=Mosmu-Da east=Modisnu west=Emulnixu
Misme north=Alusnu south=Dododa east=Dolu-E west=Mu-Daxe
Dilole north=Du-Mo-A south=Dulosmixu east=Dulige west=Amodano
Eginusnixa north=Exudeno south=Demaga east=Alnudixa west=Misnelnu
Misma north=Dododa south=Dodode east=Daxesmigu west=Mu-Dudo
Malaninixo north=Dolu-E south=Daxesmigu east=Dagamila west=Dododa
Dilolo north=Dulesme south=Mulmusno east=Anosnismo west=Mu-Demu
Dimana north=Emegalu south=Dige east=Eginu-Dilnilma west=Egeludu
Almegismisna north=Mo-Meme south=Dolaxu east=Enililisnimu west=Mo-Mu
Mismu north=Agulmisma south=Disnago east=Du-Do west=Megamo
Anenaxe north=Alela south=Digo-Me east=Esmu-De west=Asnusmima
Agude north=Magalno south=Alilmo east=Eno west=Modamo
Modanu north=Dulnigu south=Aliximu east=Elmulile west=Dolilo
Mismo north=Dinolimu south=Egodixige east=Agaxane west=Asnulo
Alixude north=Axixo south=Asmu-Du east=Danixa west=Enududu
Agudo north=Exigo south=Magalno east=Esmisnu west=Enigine
Mosmemu north=Amixu-Ma south=Damu east=Memena west=Almodo
Dusnolmo north=Emamusme south=Mamixilu east=Molnamo west=Analude
Delasmimixu north=Megasmu south=Alima east=Memesnino west=Milnoda
Dixano north=Emudesme south=Demene east=Mosmigu west=Egexude
Mulnaxa south=Meniga east=Mosnanixa west=Esmude
Mosmena north=Amilna south=Emulegu east=Dulnelme
Mosmeme north=Anema south=Anesnina east=Elninilmo west=Modexu
Mesnalo north=Modamige south=Dulelu east=Axismisne west=Modudu
Agududo north=Anolele south=Menagu east=Digo-Do west=Elusno
Menosna north=Milnagile south=Danixe east=Anigolme west=Mosmudu
Menixu north=Ememolo south=Amalima east=Egelesnu west=Musnano
Molisno north=Anolu-Do south=Maginu east=Axigesma west=Dismudilmilo
Deno-A north=Dulmesmu south=Enu-Elu east=Egixusmu west=Alnuda
Demalna north=Axudelu south=Exudeno east=Asnamo west=Exinoliga
Eligegisnu north=Melu south=Ago-Eme east=Egodosna west=Maxino
Dodulo north=Mo-Mosma south=Agelmu east=Minulina west=Amusno
Dolnelo north=Asmegixa south=Eginosna east=Eligige west=Mudusmo
Mino-Du north=Mudesno south=Exexo-Me east=Amaxo west=Mo-Dolno
Dudo-Mo north=Anolnixo south=Milusmu east=Misnosmo west=Esmimu
Dolmu-E north=Exenigixe south=Alixexa east=Amexu-A west=Mulnile
Minesne north=Digige south=Mimixilne east=Elixage west=Du-Moda
Anu-Mu north=Exusmo south=Dimelno east=Molo-A west=Enudulno
Mesnane north=Egemo-De south=Asmegixa east=Dolamo west=Axegigu
Minaxu north=Ano-Exixo south=Almu-E east=Enosne west=Mosmigu
Daloda north=Memime south=Mesnilo east=Anigilu west=Delasma
Emelu-E north=Asmu-Do south=Alusmimixa east=Dinisme west=Desmusninu
Elo-Mu north=Examinu south=Mamo-Mu east=Anu-Asmu west=Dulmilu
Megege north=Do-Esmisma south=Dusno-E east=Mexolu west=Do-Esnu
Esnu-De north=Mamu-A south=Esmesmisna east=Daxegisne west=Amimela
Amene north=Egixema south=Emolmismila east=Alnisna west=Enanaga
Megego north=Minega south=Agamemo east=Dulu west=Amulega
Egaxosme north=Egesnu south=Dudema east=Dudinina west=Exoleme
Enanusne north=Milnude south=Dixesme east=Desname west=Demamu
Mesnenilnu north=Eninole south=Esnudo east=Mu-Mo-E west=Egasne
Axeno north=Musnesnu south=Dilmiga east=Dodo west=Digolmu
Menosmo north=Modolu south=Menemo east=Axulemo west=Mimu-Mixe
Menosme north=Meneme south=Danige east=Alegilu west=Emulodisma
Axena north=Danasmu south=Esmixa east=Agimo-De west=Dudodo
Desmosnu north=Axo-Me south=Dixode east=Mudosmismo west=Musmosne
Dalode north=Digigo south=Digiga east=Dexixu west=Esmulmo
Mu-Mega north=Alo-Mu south=Dismisme east=Demosnu west=Enelnimixo
Anu-Ma north=Eludolimo south=Alelexixe east=Mismismisna west=Asmusnixe
Minaxa north=Elnoda south=Maxime east=Mu-Mime west=Exuda
Almula north=Dodasnisme south=Manago east=Meninilmo west=Axu-Ala
Axenu north=Mexime south=Amaximigu east=Dulmegu west=Emu-Me
Enexolo north=Emamila south=Exiligu east=Mexexa west=Emimexa
Do-Aliga north=Dolnaxo south=Asnimo east=Daxegine west=Egulmu
Mixola north=Agalu south=Muda east=Anolago west=Esmosmu
Mo-Asnile north=Desmale south=Exodelmige east=Dusmanu west=Alixine
Mixolo north=Amasna south=Mudo east=Almo-E west=Amamilu
Mulnalo north=Esneno south=Esnena east=Elaneno west=Elagemixu
Amelo north=Axusmimu south=Egagino east=Modenu west=Eligusmu
Dismine north=Exe south=Agino-A east=Esmu-Me west=Danesmina
Mudolixa north=Daligine south=Demosno east=Magimigu west=Dexisma
Menilo north=Mulosnu south=Agodu east=Mosnesmu west=Menu-Do
Dulu-Mina north=Molnilmu south=Enixodu east=Demodu west=Dusmemo
Agolexixixu north=Alnudu south=Esnu-Mo east=Alemu west=Mu-Alma
Elmamino north=Axudole south=Exelosme east=Agulamino west=Mosmino
Dusmaxu north=Modimixo south=Musnaxu east=Examesne west=Mimixe
Minamo north=Musmixisnu south=Axodilu east=Daxexo west=Mulmulilo
Delaxinu north=Modime south=Memexu east=Demigile west=Anesne
Mo-Mulu north=Mo-Mame south=Dagixo east=Do-Dima west=Age
Danuda north=Enolno south=Diguda east=Elnexe west=Enixixu
Mulnamo north=Ago-Eme south=Dosnusnu east=Megusma west=Anexexe
Minamu north=Amamexixu south=Agamimino east=Axaliga west=Dodisme
Egalinu north=Meniga south=Manuda east=Agosma west=Esmuda
Danudo north=Dulmo south=Esnina east=Enodesmo west=Aminele
Molmode north=Exismo south=Elninilmo east=Maxolmo west=Anema
Minala north=Mosmame south=Minalo east=Elu-Esme west=Emusnismo
Mudisme north=Mixago south=Dudolne east=Megosna west=Agemo
Masmimu north=Dexisma east=Demosno west=Dasnigo
Dismilu north=Dalulmigu south=Delnuda east=Agexixe west=Amasnilu
Minalo north=Minala south=Esmoligu east=Menoda west=Exodudilo
Enisne north=Mo-Me south=Mamosme east=Egamusmo west=Enilma
Demalmo north=Anigime south=Almaninu east=Analaligigisma west=Musnexa
Minalu north=Daxulna south=Miloligixe east=Dusnesmu west=Mamaxo
Enisna north=Minegu south=Modixa east=Magimo west=Malamismu
Eginusma north=Milelminima south=Anodolme east=Daxulu west=Mulamo
Modagu north=Do-Misnu south=Modemu east=Musnu west=Ememusma
Mudisna north=Axinolima south=Almaga east=Esnulna west=Enixuda
Elno-E north=Amexude south=Enismo east=Milixa west=Dasnixo
Enismo north=Elno-E south=Misminu east=Esmulme west=Emilisme
Modaga north=Modage south=Miligu east=Do-Amisne west=Desnesne
Modage north=Anamema south=Modaga east=Axamu west=Digenu
Menima north=Melelo south=Agolanu east=Emismo west=Modexe
Ago-Exo north=Malule south=Du-Mo-Du east=Elanesna west=Agodixe
Mudismu north=Alosmu south=Axaximu east=Dudigu west=Agoda
Enisma north=Dudaxo south=Exanenila east=Egu-Ma west=Dosnixixe
Asniligo north=Almigu south=Megolnile east=Molmudisma west=Mixu
Elelaxine north=Axusmilmu south=Mosmesno east=Magiga west=Alolosmu
Eginusna north=Mudimigu south=Mudema east=Modesmimu west=Menude
Analaligigisma north=Melo south=Asnala east=Exu-Elu west=Demalmo
Emexege north=Esmosnu south=Esmosno east=Digexe west=Dusme
Dismime north=Enelodisne south=Aludu east=Malamismu west=Dasnasmisno
Amegu north=Demixo south=Musnu-E east=Maxinimo west=Mo-Dismigo
Amismu north=Anolola south=Dego-Misma east=Agudano
Do-E north=Malu south=Amagemo east=Desnagixina west=Anelaxo
Amismo north=Amexalilma south=Damasmile east=Egolu-E west=Axudaxo
Mamusnilo north=Milolu south=Enalminu east=Mimismu west=Denu-E
Egosnimu north=Damusmiga south=Mo-Diga east=Malosma west=Dodage
Axegu north=Dolamo south=Eligige east=Exinima west=Asmegixa
Elu-Elilna north=Misnu south=Dimelixilnu east=Amixa west=Masmilo
Amisme north=Damasmile south=Amanage east=Egexisnu west=Dasnalu
Amisma north=Egemolima south=Anexulu east=Daxame west=Egodixu
Exolnisme north=Anamigo south=Exusno east=Dilime west=Menage
Dasmosnu north=Axoludo south=Meginiga east=Enudosma west=Egimo
Dasmosno north=Meximo south=Manixu east=Alaxasne west=Egasmu
Amisnu north=Dalolna south=Dalmu east=Musmege west=Enosmo
Enu-Esma north=Musmigu south=Elmudixe east=Axu-Do west=Maxegu
Alu-Amo north=Megudo south=Migu-De east=Misnodininigo west=Masnu-De
Alisnila north=Dama south=Dame east=Asmasne west=Axinema
Dosmixe north=Amanu-A south=Axulemo east=Magolu west=Modolu
Mamosna north=Asmelnismixa south=Exodusmo east=Degasno west=Daxuda
Amisno north=Menene south=Magaxila east=Mulemo west=Egulo-Ma
Mamosne south=Asmelnismixa east=Dixagu west=Du-Musma
Elenelmixa north=Menelimo south=Anemesmo east=Alusna west=Masnisma
Emenilisna north=Esnusno south=Ememusmiga east=Enenile west=Dexesma
Dixaxe north=Memimimismo south=Agusna east=Dixega west=Alagagimo
Dimaxo north=Egana south=Misnexe east=Asnanu west=Digusmisnilna
Amisna north=Alinosno south=Menene east=Demosnigo west=Examaxa
Anodano north=Agexudu south=Anemenime east=Dasmaxu west=Egolosmo
Anudilnu north=Disnanu south=Dosmemina east=Exanilna west=Analo-E
Alaxasne north=Denanimo south=Elu-Exe east=Emosme west=Dasmosno
Alulalima north=Meno-De south=Mimige east=Dulaxe west=Mududo
Do-A north=Esnela south=Esnele east=Masmolmo west=Amigama
Mino-Mo north=Dagila south=Elulama east=Mamixo west=Ele
Elesmu north=Minosna south=Musmixu east=Examusmu west=Dixo
Dixaxu north=Ego-Esme south=Axelesmiga east=Egelemu west=Dexamo
Ananino north=Elmasmu south=Exulu east=Mixudimismo west=Emelene
Dulusne north=Do-Dene south=Aginasnu east=Mo-Dasmo west=Mamexa
Dixaxo north=Mesmanu south=Axigolmu east=Exane west=Dexame
Dulusno north=Agelnilinu south=Milismimina east=Agixa west=Dalmena
Amiximine north=Mexo-Du south=Axulodu east=Asnu west=Dinigu
Mamosme north=Enisne south=Esnasna east=Exexexe west=Aninulu
Elu-Esme north=Daxixu south=Menoda east=Egimexe west=Minala
Axamulo north=Dimodo south=Musmusno east=Mulmulilo west=Agosmu
Mosmega north=Aludinu south=Axu-A east=Enudisnu west=Dimo-Da
Elesme north=Exosma south=Musmixe east=Ma west=Mixesme
Dasmosma north=Enexasnile south=Alaxine east=Anolmu west=Emolaga
Almosno north=Dodago south=Dodage east=Damusmiga west=Dinimo
Dulusmu north=Misnosne south=Magodu east=Asnigo west=Agano-A
Mosmege north=Axu-A south=Esnosma east=Aganexe west=Dimulmo
Mulmusno north=Dilolo south=Du-Mo-A east=Dismixe west=Enaxelna
Ega north=Maxexe south=Anodosno east=Du-Esme west=Esmalmu
Musmexe north=Milego south=Dodima east=Milolo west=Enosne
Elo-Da north=Enalaga south=Asnolu east=Dudininime west=Managu
Ege north=Enododa south=Egusno east=Eginaga west=Ale
Elesnu north=Dolmu south=Dilasnixe east=Melena west=Masmasno
Esnu-Ma north=Dodu-E south=Dodu-A east=Dixosme west=Mimulixe
Du-Asnixu north=Dilmexixe south=Amexude east=Disnina west=Elenu
Mulnasmo north=Mixelnime south=Molo-Me east=Asnilo west=Dulmola
Elo-De north=Agamode south=Modesmimu east=Amexanu west=Mudimigu
Dulusme north=Dulusma south=Mixuda east=Axo-Ane west=Axalagixa
Anu-De north=Mudege south=Mudega east=Axanasnigixime west=Emudixe
Elesno north=Elesna south=Dudu-Do east=Malimu west=Enelo-A
Ego north=Egusna south=Dodu east=Dodismo west=Memenixu
Amege north=Migodo south=Aligudo east=Do-Digu west=Maxaga
Egu north=Dodo south=Egusna east=Axamodu west=Dilmiga
Ananime north=Demalmimismu south=Elmasna east=Esmolnu west=Minula
Elesne north=Enemisna south=Elesna east=Elege west=Mamenimisna
Esnu-Mo north=Agolexixixu south=Axixilu east=Asmulmo west=Modosnino
Elu-Ago north=Mexilu south=Menolma east=Agexixu west=Amasne
Elesna north=Elesne south=Elesno east=Dodu-Migigu west=Mu-Exe
Dulusma north=Magodu south=Dulusme east=Mosnano west=Digo-A
Esnu-Me south=Aninu east=Daxima west=Dagile
Dinaxe north=Dagudo south=Enago-Do east=Egu-Dino west=Mamaxila
Dagu-Mu north=Degasnisme south=Mudaxu east=Eleligo
Emolosnige north=Mimismu south=Axaxo-E east=Disnu-Da west=Enalminu
Doligo north=Migina south=Amexanu east=Amolusnisnu west=Agamode
Esnalno north=Dusmilu south=Anaxudiximilisme east=Molo west=Magode
Esnalu north=Demaga south=Mosnegigimu east=Dusmelu west=Dismago
Doligu north=Demosmu south=Daxale east=Dusnasnu west=Danege
Daxinima north=Enimesmu south=Mimisno west=Dudinina
Axudelu north=Damexa south=Demalna east=Dusmile west=Dixeliga
Esnama north=Do-Mosno south=Danudinu east=Esmasna west=Exodisno
Doliga north=Megesmiminixine south=Manusna east=Digo-A west=Anemu
Examosmu north=Almo-E south=Dilosna east=Emulma west=Mudo
Egusniligu north=Anismu south=Dimilmisme east=Mode west=Egodesne
Meginiga north=Dasmosnu south=Meximo east=Agenu west=Du-Dulu
Esmola north=Dimemo south=Enudulno east=Exusmo west=Mamana
Dudodu north=Dosmaxisma south=Musno-E east=Asmixa west=Migisnismo
Amilaxo north=Mudo-E south=Mesnige east=Migela west=Delalu
Anodolme north=Eginusma south=Dimodilige east=Mudila west=Enemexo
Dudodo north=Aganosno south=Examude east=Axena west=Esmolnu
Esmole north=Daxeme south=Du-Amo east=Memu west=Do-Dima
Esnana north=Anu-Esnu south=Digu-A east=Musnola west=Dexo
Melnige north=Dosnane south=Aludinu east=Agixodu west=Asnodimu
Esmolo north=Ameguda south=Masmolne east=Esmelma west=Aludaga
Dilasmu north=Esnilma south=Axusne east=Mosniga west=Milnisne
Megixo north=Delmu-A south=Denigu east=Alo-Dilmiga west=Dosnixu
Anegudisno north=Mamulinu south=Anigixa east=Meludu west=Emolemimiga
Mo-Milu north=Maxima south=Anemala east=Enasnimu west=Amexigimiga
Dilasna north=Axusma south=Egasnismo east=Emo-Misno
Dodo-Mu north=Emodagu south=Misneme east=Memimu west=Migamimile
Esnane north=Dodixixo south=Mulnele east=Amu west=Ane
Esmolu north=Do-Mo-A south=Amu-A east=Alolosmu west=Dano
Dasne north=Dismexo south=Dulilo east=Asnimixe west=Maxulmu
Alnama north=Do-Dolu south=Axilane east=Enale west=Mulanilu
Mosnolo north=Dege south=Mixolmixa east=Mo-Ma west=Megilo
Dasna north=Musnimo south=Exixe east=Exigosnixo west=Esne
Amesminu north=Alemaxa south=Alma east=Milesnu west=Dixinu
Exenaxo north=Amaxa south=Mexegimu east=Elmisme west=Agamala
Dinesnu south=Do-Eno east=Minasnu west=Mosno-E
Migaxo north=Mu-Dulu south=Mego-A east=Dagasna west=Anusmimo
Alneximu north=Emigela south=Demilu east=Mu-Ala west=Mamixigilu
Dasno north=Musnime south=Malosma east=Mu-Emu west=Damusmiga
Egexulisnu north=Melnula south=Agosnine east=Enamo west=Digo
Aludu north=Dismime south=Enodanu east=Dale west=Dago-E
Dodamo north=Egigolisne south=Dulixu east=Dosme west=Dasnalnu
Migaxe north=Axamasme south=Dusmasme east=Mimego west=Exale
Anu-Dismo north=Dulmude south=Alisna east=Agodelme west=Esnu-A
Mixodigu north=Dismesnisme south=Asmelixu east=Melenimu west=Dasnemisne
Examosma north=Musmama south=Mulu-A east=Mudalnilixu west=Emaxeno
Axu-Do north=Dixile south=Egilegu east=Du-Ane west=Enu-Esma
Alnana north=Enexo-A east=Dago-Mu west=Mu-Asno
Dasma north=Demilu south=Axulmu east=Esnemilu west=Magine
Manege north=Mixine south=Enixuda east=Axinolima west=Animu-A
Alegasninu north=Elulnu south=Amixusmilnime east=Digela west=Enegosnilmo
Axu-De north=Dixilo south=Enililisnimu east=Elegimisnilno west=Mo-Meme
Damasma north=Mudixe south=Degodo east=Esmuda west=Danulo
Dasnegu north=Dilnimisno south=Enu-Emo east=Desmagu west=Anu-Elu
Mosmesno north=Elelaxine south=Asmasne east=Dolesnu west=Dama
Mo-Dusmu north=Dolano south=Musmusmigu east=Mine west=Agisna
Miligixu north=Eludalo south=Milulixinu east=Esmodime west=Animolme
Ela north=Dusmoda south=Ele east=Dagila west=Alagene
Dodano north=Alegaxisme south=Amo-De east=Anasno west=Dulu-Ma
Ele north=Ela south=Agemusmu east=Mino-Mo west=Mu-Mamo
Elanesna north=Manule south=Mo-Dismigo east=Demixo west=Ago-Exo
Alilusmilino north=Emanalme south=Mamilna west=Masmudo
Exolale north=Mesmeligo south=Magemu east=Dimo-Da west=Dimu-A
Anenosmo north=Esnelina south=Dusnu-Mo east=Anelmo west=Denisno
Elo north=Mosmale south=Do-Mosno east=Alenulno west=Egamexo
Elu north=Molesmu south=Axelolu east=Mo-Mudimo west=Anixesmo
Dulu-Ma north=Dolmodu south=Exaxo-Ma east=Dodano west=Agesne
Asmexo north=Degago south=Axexismixu east=Anu-Elu west=Dolo-E
Asmexu north=Menu-A south=Diginige east=Agaxalne west=Emaxelo
Mosmesmo north=Amaxosme south=Minisna east=Mesmixixu west=Dolule
Ema north=Memu-A south=Manudo west=Egigega
Eme north=Enasnimu south=Anolimu east=Du-Maxe west=Anemala
Ego-Esme north=Agemimo south=Dixaxu east=Dulolina west=Enenile
Minusno north=Delaniga south=Digosna east=Melola west=Demasma
Asmexa north=Mamigo south=Egegu-A east=Alalano west=Alosma
Elilme north=Agimixo south=Ageginu east=Du-Malmu west=Ememula
Asmexe north=Axexismixu south=Mu-Egixu east=Mesmile west=Dolaxa
Emo north=Musnelinisne south=Daxoligu east=Mu-Digu west=Desmegu
Emu north=Alesmo south=Danole east=Agesna west=Asminu
Minusna north=Migilna south=Delaniga east=Molosme west=Emasmigilno
Elilmu north=Axasnu south=Agegine east=Do-Mulo west=Axixusme
Dolilo north=Emolmo south=Degismigismo east=Modanu west=Anosmixa
Eleligo north=Aximo-Me south=Dexesma east=Esnusno west=Dagu-Mu
Ego-Esna north=Egagale south=Musmosne east=Axo-Me west=Dosmusnilma
Almaninu north=Demalmo south=Molmismu east=Asnala west=Asnima
Ena north=Denodilmu south=Memaxe east=Elmusno west=Emenilna
Agenagu north=Maxine south=Maxino east=Melu west=Misnu-Miximo
Elilna north=Modulile south=Molna east=Alnulu west=Dosma
Ene north=Misnaxu south=Esmisnu east=Dusname west=Exigo
Masmudo north=Dinulo south=Mimege east=Alilusmilino west=Eninexe
Mo-Mimo north=Mudimo south=Mulule east=Mesmega west=Axo-Ma
Dasnelu north=Manolma south=Daxige east=Dilnexu west=Desnamigu
Esnano north=Esnenu south=Elaxa east=Mesnaxa west=Asnila
Eno north=Exu-Du east=Enelagixa west=Agude
Esmulma north=Damano south=Danime east=Alulelne west=Elolime
Musmago north=Dodola south=Elnasno east=Dano west=Memu-Du
Emegule north=Melisma south=Misne east=Alegudilo west=Dixega
Esmulme north=Milixa south=Misnude east=Emimu-Misma west=Enismo
Enu north=Amulme south=Analude east=Emamusme west=Dusmegismo
Esnanu north=Exaxega south=Axasmo east=Axigu-A west=Anaxusno
Damalime north=Aligeximo south=Dudasna east=Dusnuliginimo west=Danene
Axo-Misnu north=Dixu south=Egasmixa east=Exosmo west=Mo-Dimo
Dilinila north=Dagene south=Mexinisno east=Degigu west=Masnanu
Dasnela north=Alegilo south=Agolu east=Demo-Mo west=Egisma
Anulosne north=Analo-E south=Egasmigo east=Dosmemina west=Axelamu
Musnulo north=Migilu south=Dimixinisnu east=Dinanigixu west=Anolago
Esmulmo north=Emalexo south=Mudosmo east=Dalode west=Emilo
Axo-Misno north=Mixesmu south=Dixo east=Minosna west=Emigemimismo
Elilma north=Ageginu south=Daxo-De east=Demesmo west=Analoda
Ano-Axinu south=Elagude east=Menagina west=Melolo
Emulegu north=Mosmena south=Axismisne east=Amodolixo west=Modamige
Amixagila north=Dago south=Axodisnu east=Dolexu
Exolama north=Egasnima south=Mosmama east=Dodala west=Migudima
Mixinige north=Emodudu south=Mixama east=Molile west=Enegasme
Du-Mu-Do north=Dismaxa south=Mosnemo east=Dilo-Mima west=Alalano
Almanima north=Emanalixisno south=Enododa east=Enimeno west=Molminiligismine
Dusmismigixe north=Mimixe south=Mimema east=Musnaxu west=Elu-Ema
Dino-Diga north=Dinigu south=Dilaxu east=Axulodu west=Exigusno
Dodaxa north=Elamimimiligiga south=Elalexe east=Eninusno west=Mu-Mu
Agemo north=Miganu south=Agagisnisno east=Mudisme west=Alego-A
Anasnila north=Esnusma south=Agemosma east=Mana west=Alexu
Digiginu north=Elenudila south=Du-Mo-E east=Eminexo west=Dolnodilmu
Emodagu north=Dasmo-De south=Dodo-Mu east=Axu-Ego west=Magolu
Asmele north=Mexixo south=Anasno east=Eludenilnisno west=Alegaxisme
Agigesna north=Mano south=Amixiga east=Mismilu west=Anolnina
Mexinisno north=Dilinila south=Amo-Mo east=Memo west=Magaxa
Mixodine north=Elnudo south=Alenu east=Dusmelo west=Mixudila
Dinosnigo north=Enosne south=Masmulmigu east=Dodima west=Almu-E
Mamesnimu north=Ememo-E south=Mulnusne east=Dismodu west=Musmaxo
Elagelma north=Aginu-Do south=Asmo-Ma west=Elmelu
Denine north=Dusmulimo south=Anelmu east=Asnudo west=Anenudo
Asmelo north=Elasnimo south=Mexixo east=Mesmu west=Eminuda
Agenu north=Enudosma south=Denanimo east=Emosma west=Meginiga
Elelila north=Axolexa south=Dusmulimo east=Mulasno west=Anaxe
Exinelige north=Asno-Do south=Exu-Alisme east=Maxinu west=Disnimu
Amagolmu north=Eninixo south=Magosma east=Dalisno west=Mosmu-E
Dasmaxu north=Exula south=Damu-A east=Agixaginu west=Anodano
Melimime north=Desnaxa south=Anexusmu east=Exudima west=Modulne
Daxesmigu north=Malaninixo south=Mismimimu east=Magena west=Misma
Egilexe north=Alaxama south=Esnige east=Esmisne west=Exodulima
Amu-Mo north=Emasna south=Axudagu east=Do-Maxo west=Agolmu
Elelimo north=Dudolmo south=Mane east=Amolula west=Agimalisna
Dolimu north=Alixusna south=Egasnige east=Ego-Eno west=Mismesmu
Mu-Dula north=Mego-A south=Elilu east=Dula west=Exaneme
Amu-Mu north=Mimixilne south=Modigige east=Dosmixigilu west=Egodile
Meno-Mo north=Egasna south=Egasno east=Emudine west=Mu-Anime
Enilegisna north=Alismo south=Elisnilo east=Do-Ma west=Eximolna
Mu-Dulo north=Musno-Do south=Amixila east=Eno-Ma west=Enosnu
Amaxudo north=Egixu south=Asmalo east=Megame west=Enudosmo
Denila north=Demale south=Mudode east=Mu-Axu west=Elmege
Egegolo north=Axusmo south=Exusmu east=Axesna west=Exexano
Mu-Dulu north=Denemilo south=Migaxo east=Musnismo west=Denexa
Emilnigu north=Daguligu south=Mo-Ana east=Agenema west=Esnolu
Mosnoda north=Denusna south=Malisnime east=Asmage west=Disname
Emexexe north=Amemala south=Exeloliga east=Ego-Ma west=Dusmu-Mo
Emodaga north=Asmosna south=Emodosmo east=Emegegu west=Egexisna
Almodo north=Mu-Dine south=Mosnismilinu east=Mosmemu west=Dudisne
Axesminilmo north=Digexe south=Mamuda east=Magine west=Esmosno
Migulmo north=Demusmu south=Enalnu east=Axamo west=Mu-Du
Denimo north=Emile south=Duludigu east=Agu west=Deneme
Mexinismu north=Dinilo south=Agaxalismu east=Migalmilu west=Dolnolma
Anasnimo north=Mesmino south=Dusmelilo east=Magulme west=Examilu
Esmoligu north=Minalo south=Amolodo east=Daxodu west=Emasmisno
Elo-Ene north=Elinosno south=Damamile east=Emixusmo west=Dilolmo
Denima north=Ego-A south=Exigimu east=Mudima west=Dosmimo
Alno-Digo north=Musmemo south=Mu-Dagime east=Dusmisnu west=Dolena
Mo-Migo north=Molasne south=Esmemina east=Migisnismo west=Amulu
Alnaga north=Melnudima south=Masnusma east=Asnelinu west=Dusnilu
Mo-Miga south=Anagiga east=Elnilminigu west=Asmolo
Asmelmu north=Deximigu south=Delmemu east=Mamele west=Anane
Alnage north=Masnusma south=Miliga east=Emigulino west=Amagamu
Dinanigixu north=Aligodilo south=Melisma east=Exesnigu west=Musnulo
Manene north=Digixu south=Malamilima east=Minisme west=Masnexo
Elmulile north=Emudesno south=Agilnu east=Almige west=Modanu
Anenino north=Aludalu south=Enosne east=Milego west=Ano-Exixo
Egulmo south=Malodo east=Egismu west=Asnodo
Manenu north=Du-Dolnu south=Axodula east=Demudu west=Emaninu
Manemo north=Magu-Ma south=Dimo-Ma east=Milna west=Migu-Do
Migaxa north=Eninexe south=Axamasme east=Mimege west=Damusnu
Denu-De north=Alenusmisna south=Menelu east=Du-Emine west=Dosmilmu
Elo-Ego north=Exilaxu south=Examo west=Axulnu
Asmelnismixa north=Mamosne south=Mamosna east=Molnosno west=Exudima
Anolago north=Alesnu south=Memimimismo east=Musnulo west=Mixola
Maneme north=Dexesma south=Delasne east=Ememusmiga west=Enememo
Modexu north=Asnodigo south=Asnanu east=Mosmeme west=Egana
Mosnodu north=Menesmu south=Mo-Dema east=Dinulu west=Agamele
Dasmelmo north=Egamexo south=Exodisno east=Do-Mosno west=Asmene
Alnagu north=Dosno east=Enolo west=Dusmilnigu
Emodalo north=Esnulo south=Anosnino east=Mosmo west=Emisnima
Elelnixa north=Emu-Emu south=Axinana east=Dasmixa west=Migige
Amixego north=Axasmo south=Demode east=Do-Mo-Du west=Dosmu
Denigu north=Megixo south=Do-Ego east=Enulmu west=Migexa
Manele north=Daninu south=Axu-Emo east=Enodelnige west=Desna
